,Total distance (km),Total Travel Time (h),Total load (kg),Fuel Consumption (L),Avg Fuel Conspumtion (L/100km),Avg Speed (km/h)
0,52.024,01:11:39,1000.0,7.5648512745233845,14.5410796450165,43.56510816468946
1,109.253,01:41:48,441.0,18.49181482415553,16.925681513693473,64.3927308447937
2,24.655,00:41:28,1000.0,3.610080293805267,14.64238610344866,35.67443729903537
3,212.087,04:21:02,2291.0,36.77749767419117,17.340760006125397,48.74940620610395
4,122.146,02:02:38,466.0,19.093562366441923,15.631754102829337,59.76156564283772
5,130.207,04:56:02,3307.0,19.97954479553937,15.344447530116945,26.39033892579664
6,41.048,02:14:27,2236.0,6.744257667568383,16.430173620074992,18.318185198958723
7,56.047,01:08:22,444.0,8.377873476363668,14.947942755836472,49.18800585080448
8,51.789,01:00:20,359.0,8.12922011953079,15.696808433317482,51.5028729281768
9,83.985,01:32:38,313.0,12.66750494610955,15.083056434017445,54.39834472831954
10,146.599,02:46:32,871.0,22.840993299642616,15.580592841453637,52.81789431545236
11,49.222,01:03:16,345.0,7.220091715671764,14.668424110502954,46.680505795574284
12,129.47,02:09:46,1000.0,20.62559234893985,15.930788869189659,59.86283072180837
13,83.958,01:39:47,444.0,12.188570959636332,14.517462254503837,50.48418239518958
